message_id,participant_id,time_stamp,source,bot_type,message,Thread,Doing_what,SRL_scheme,Scaffold_event,Scaffold_true,Scaffold_proper,Scaffold_event_a2,Scaffold_true_a2,Scaffold_proper_a2
x,a,2025-10-01 08:10:19.359000+00:00,user,(B),hello,1,1,HS,0,0,,0,0,
y,a,2025-10-01 08:10:19.359000+00:00,assistant,(B),hello,1,1,,,,,,,
z,a,2025-10-02 08:10:19.359000+00:01,user,(B),hello,2,1,EL,1,1,1,1,1,1
p,a,2025-10-02 08:10:19.359000+00:02,assistant,(B),hello,2,1,,,,,,,
q,c,2025-10-02 08:10:19.359000+00:03,user,(B),hello,1,1,CT,1,1,1,1,1,1
w,c,2025-10-02 08:10:19.359000+00:04,assistant,(B),hello,1,1,,,,,,,
r,d,2025-10-03 08:10:19.359000+00:05,user,(I),hello,1,2,HS,1,1,1,1,0,1
s,d,2025-10-03 08:10:19.359000+00:06,assistant,(I),hello,1,2,,,,,,,
t,e,2025-10-04 08:10:19.359000+00:07,user,(C),hello,1,1,HS,,,,,,
v,e,2025-10-04 08:10:19.359000+00:08,assistant,(C),hello,1,1,,,,,,,
k,f,2025-10-04 08:10:19.359000+00:09,user,(C),hello,1,1,HS,,,,,,
l,f,2025-10-04 08:10:19.359000+00:10,assistant,(C),hello,1,1,,,,,,,
