studyID,startDate,mentalEffort_1,mentalEffort_2,mentalEffort_3,mentalEffort_4,group,Skill,courseMaterial,clarity,noImage
a1,22.10.2025 13:00,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,control,B,0,0,1
b2,23.10.2025 13:00,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,treatment,IA,1,0,0
c3,24.10.2025 13:00,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,treatment,B,0,0,0
d4,25.10.2025 13:00,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,control,B,0,0,0
e5,26.10.2025 13:00,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,control,IA,0,1,0
f6,27.10.2025 13:00,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,control,IA,0,0,1
g7,28.10.2025 13:00,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,control,B,1,0,0
h8,29.10.2025 13:00,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,control,IA,1,0,0
i9,30.10.2025 13:00,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,treatment,B,0,0,0
j10,31.10.2025 13:00,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,control,IA,0,0,0
k11,01.11.2025 13:00,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,treatment ,IA,0,0,0
l12,02.11.2025 13:00,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,control ,IA,0,0,0
