message_id,participant_id,time_stamp,source,bot_type,message,Thread,Doing_what,SRL_scheme,Scaffold_event,Scaffold_true,Scaffold_proper,Scaffold_event_a2,Scaffold_true_a2,Scaffold_proper_a2
x,a,01.10.2025 08:10,user,(B),hello,1,0,HS,0,0,,0,0,
y,a,02.10.2025 08:10,assistant,(B),hello,1,0,,,,,,,
z,a,03.10.2025 08:10,user,(B),hello,2,1,EL,1,1,1,1,1,1
p,a,04.10.2025 08:10,assistant,(B),hello,2,1,,,,,,,
q,c,05.10.2025 08:10,user,(B),hello,1,1,CT,1,1,1,1,1,1
w,c,06.10.2025 08:10,assistant,(B),hello,1,1,,,,,,,
r,d,07.10.2025 08:10,user,(I),hello,1,2,HS,1,1,1,1,0,1
s,d,08.10.2025 08:10,assistant,(I),hello,1,2,,,,,,,
t,e,09.10.2025 08:10,user,(C),hello,1,1,HS,,,,,,
v,e,10.10.2025 08:10,assistant,(C),hello,1,1,,,,,,,
